clade_or_herv,elements_within_herv_or_clade
Clade_250,MER66-11_int-2167_MER66B-1_MER50-15_MER52-54_MER52C-1_HERV1-30_LTRd-1_I-50_PABL-37_B-37_LTR9-5_HUERS-50_P3-49_HERVIP10F-43_LTR10A-19_Harlequin-4_LTR2-1_LTR10B2-8_HERVIP10B3-34_HERV3-43_LTR4-12_LTR13-8_HERVK13-9_HERVK11-44_MER11C-18_HERVL32-6_LTR32-4_ERVL47-6_LTR47A2-2_HERVI-13_LTR10D-5_LTR9C-6_P3b-1_LTR9B-1_LTRc-8_LTR61-11_PRIMA41-40_PRIMA4-22_LTR-10_HERVK22-100_MER57A-16_HERVK9-168_MER9a3-83_MER57D-1_ERV24B-17_Prim-39_LTR24B-9_LTR14-6_HERVKC4-8_HERVK-61_ERV24-22_HERVS71-37_LTR6B-20_HERVFH19-14_LTR19B-1_LTR46-22_LTR7C-5_HERVH-17_HERVFH21-22_LTR21A-8_LTR21B-7_LTR21C-3_HERVH48-30_MER48-29_MER84-10_LTR14C-12_HERVK14C-12_LTR53-3_LTR47B4-1_LTR47B3-2_LTR47B2-1_LTR57-16_MER70-2_MER70C-1_LTR76-10_HERVL18-37_LTR18A-24_LTR18C-8_LTR18B-5_LTR17-104_HERV17-116_LTR12-35_HERV9N-36_HERV9-91_LTR12F-34_LTR12C-41_HERV9NC-85_HERV30-18_LTR12D-21_-23_LTR12B-4_HERVL-451_MLT2A2-143_LTR30-14_HERV4-35_LTR27E-8_LTR27D-9_LTR28B-4_LTR1D1-6_LTR28C-4_LTR9D-3_LTR9A1-10_LTR25-2_MER66A-1_MER51E-6_MER51A-16_ERVL-47_E-5_LTR41-1_MER41E-1_MER41C-18_MER66C-1_MER41D-2_LTR6A-17_LTRe-5_LTR15-12_HERV15-14_LTRa-2_B4-34_MER70B-1_HERVE-108_a-30_LTR2C-36_MER57C1-1_LTR39-2_MER83A-1_LTR10B1-10_LTR10G-10_HERVIP10FH-2_LTR10E-1_MER4E-2_MER4B-3_MER101-1_LOR1-4_LTR22-9_LTR5-26_Hs-26_MER110-1_HERVK11D-10_MER11D-10_LTR24-7_PRIMAX-1_MER89-2_MER57C2-1_LTR22C2-2_LTR22C0-17_LTR22E-17_LTR22B1-17_LTR22A-17_LTR22B-4_ERV3-2_16A3-2_MER34D-1_MER34-1_HERVK14-32_LTR14B-16_LTR14A-13_MER11A-13_MER11B-17_LTR5B-17_LTR5A-12_LTR45C-1_MER9B-5_MER9a2-41_MER9a1-29_LTR10B-3_LTR71A-14_HERVP71A-22_LTR71B-7_MLT2D-4_MLT2B4-6_MLT2A1-283_MLT2B2-2_MLT2B1-13_MLT2B3-1_MLT2C1-2_LOR1a-2_LTR3B-28_HERVK3-60_LTR3-12_LTR3A-20_LTRb-1_LTR66-1_HERVL66-1_LTR16-1_MER66D-3_LTR52-4_HERV-12_Fc2-2_Fc1-10_LTR1-4_MER57E3-1_LTR7B-1_LTR7-10
Clade_251,MER66-11_int-2158_MER66B-1_MER50-15_MER52-54_MER52C-1_HERV1-30_LTRd-1_I-50_PABL-37_B-37_LTR9-5_HUERS-50_P3-49_HERVIP10F-43_LTR10A-19_Harlequin-4_LTR2-1_LTR10B2-8_HERVIP10B3-34_HERV3-43_LTR4-12_LTR13-8_HERVK13-9_HERVK11-44_MER11C-18_HERVL32-6_LTR32-4_ERVL47-6_LTR47A2-2_HERVI-13_LTR10D-5_LTR9C-6_P3b-1_LTR9B-1_LTRc-8_LTR61-11_PRIMA41-40_PRIMA4-22_LTR-10_HERVK22-100_MER57A-16_HERVK9-168_MER9a3-83_MER57D-1_ERV24B-17_Prim-39_LTR24B-9_LTR14-6_HERVKC4-8_HERVK-61_ERV24-22_HERVS71-37_LTR6B-20_HERVFH19-14_LTR19B-1_LTR46-22_LTR7C-5_HERVH-8_HERVFH21-22_LTR21A-8_LTR21B-7_LTR21C-3_HERVH48-30_MER48-29_MER84-10_LTR14C-12_HERVK14C-12_LTR53-3_LTR47B4-1_LTR47B3-2_LTR47B2-1_LTR57-16_MER70-2_MER70C-1_LTR76-10_HERVL18-37_LTR18A-24_LTR18C-8_LTR18B-5_LTR17-104_HERV17-116_LTR12-35_HERV9N-36_HERV9-91_LTR12F-34_LTR12C-41_HERV9NC-85_HERV30-18_LTR12D-21_-23_LTR12B-4_HERVL-451_MLT2A2-143_LTR30-14_HERV4-35_LTR27E-8_LTR27D-9_LTR28B-4_LTR1D1-6_LTR28C-4_LTR9D-3_LTR9A1-10_LTR25-2_MER66A-1_MER51E-6_MER51A-16_ERVL-47_E-5_LTR41-1_MER41E-1_MER41C-18_MER66C-1_MER41D-2_LTR6A-17_LTRe-5_LTR15-12_HERV15-14_LTRa-2_B4-34_MER70B-1_HERVE-108_a-30_LTR2C-36_MER57C1-1_LTR39-2_MER83A-1_LTR10B1-10_LTR10G-10_HERVIP10FH-2_LTR10E-1_MER4E-2_MER4B-3_MER101-1_LOR1-4_LTR22-9_LTR5-26_Hs-26_MER110-1_HERVK11D-10_MER11D-10_LTR24-7_PRIMAX-1_MER89-2_MER57C2-1_LTR22C2-2_LTR22C0-17_LTR22E-17_LTR22B1-17_LTR22A-17_LTR22B-4_ERV3-2_16A3-2_MER34D-1_MER34-1_HERVK14-32_LTR14B-16_LTR14A-13_MER11A-13_MER11B-17_LTR5B-17_LTR5A-12_LTR45C-1_MER9B-5_MER9a2-41_MER9a1-29_LTR10B-3_LTR71A-14_HERVP71A-22_LTR71B-7_MLT2D-4_MLT2B4-6_MLT2A1-283_MLT2B2-2_MLT2B1-13_MLT2B3-1_MLT2C1-2_LOR1a-2_LTR3B-28_HERVK3-60_LTR3-12_LTR3A-20_LTRb-1_LTR66-1_HERVL66-1_LTR16-1_MER66D-3_LTR52-4_HERV-12_Fc2-2_Fc1-10_LTR1-4_MER57E3-1_LTR7B-1_LTR7-2
Clade_252,MER66-11_int-2155_MER66B-1_MER50-15_MER52-54_MER52C-1_HERV1-30_LTRd-1_I-50_PABL-37_B-37_LTR9-5_HUERS-50_P3-49_HERVIP10F-43_LTR10A-19_Harlequin-4_LTR2-1_LTR10B2-8_HERVIP10B3-34_HERV3-43_LTR4-12_LTR13-8_HERVK13-9_HERVK11-44_MER11C-18_HERVL32-6_LTR32-4_ERVL47-6_LTR47A2-2_HERVI-13_LTR10D-5_LTR9C-6_P3b-1_LTR9B-1_LTRc-8_LTR61-11_PRIMA41-40_PRIMA4-22_LTR-10_HERVK22-100_MER57A-16_HERVK9-168_MER9a3-83_MER57D-1_ERV24B-17_Prim-39_LTR24B-9_LTR14-6_HERVKC4-8_HERVK-61_ERV24-22_HERVS71-37_LTR6B-20_HERVFH19-14_LTR19B-1_LTR46-22_LTR7C-5_HERVH-5_HERVFH21-22_LTR21A-8_LTR21B-7_LTR21C-3_HERVH48-30_MER48-29_MER84-10_LTR14C-12_HERVK14C-12_LTR53-3_LTR47B4-1_LTR47B3-2_LTR47B2-1_LTR57-16_MER70-2_MER70C-1_LTR76-10_HERVL18-37_LTR18A-24_LTR18C-8_LTR18B-5_LTR17-104_HERV17-116_LTR12-35_HERV9N-36_HERV9-91_LTR12F-34_LTR12C-41_HERV9NC-85_HERV30-18_LTR12D-21_-23_LTR12B-4_HERVL-451_MLT2A2-143_LTR30-14_HERV4-35_LTR27E-8_LTR27D-9_LTR28B-4_LTR1D1-6_LTR28C-4_LTR9D-3_LTR9A1-10_LTR25-2_MER66A-1_MER51E-6_MER51A-16_ERVL-47_E-5_LTR41-1_MER41E-1_MER41C-18_MER66C-1_MER41D-2_LTR6A-17_LTRe-5_LTR15-12_HERV15-14_LTRa-2_B4-34_MER70B-1_HERVE-108_a-30_LTR2C-36_MER57C1-1_LTR39-2_MER83A-1_LTR10B1-10_LTR10G-10_HERVIP10FH-2_LTR10E-1_MER4E-2_MER4B-3_MER101-1_LOR1-4_LTR22-9_LTR5-26_Hs-26_MER110-1_HERVK11D-10_MER11D-10_LTR24-7_PRIMAX-1_MER89-2_MER57C2-1_LTR22C2-2_LTR22C0-17_LTR22E-17_LTR22B1-17_LTR22A-17_LTR22B-4_ERV3-2_16A3-2_MER34D-1_MER34-1_HERVK14-32_LTR14B-16_LTR14A-13_MER11A-13_MER11B-17_LTR5B-17_LTR5A-12_LTR45C-1_MER9B-5_MER9a2-41_MER9a1-29_LTR10B-3_LTR71A-14_HERVP71A-22_LTR71B-7_MLT2D-4_MLT2B4-6_MLT2A1-283_MLT2B2-2_MLT2B1-13_MLT2B3-1_MLT2C1-2_LOR1a-2_LTR3B-28_HERVK3-60_LTR3-12_LTR3A-20_LTRb-1_LTR66-1_HERVL66-1_LTR16-1_MER66D-3_LTR52-4_HERV-12_Fc2-2_Fc1-10_LTR1-4_MER57E3-1
Clade_253,MER66-11_int-2147_MER66B-1_MER50-15_MER52-54_MER52C-1_HERV1-30_LTRd-1_I-50_PABL-37_B-37_LTR9-5_HUERS-50_P3-49_HERVIP10F-43_LTR10A-19_Harlequin-4_LTR2-1_LTR10B2-8_HERVIP10B3-34_HERV3-43_LTR4-12_LTR13-8_HERVK13-9_HERVK11-44_MER11C-18_HERVL32-6_LTR32-4_ERVL47-6_LTR47A2-2_HERVI-13_LTR10D-5_LTR9C-6_P3b-1_LTR9B-1_LTRc-8_LTR61-11_PRIMA41-40_PRIMA4-22_LTR-9_HERVK22-100_MER57A-16_HERVK9-168_MER9a3-83_MER57D-1_ERV24B-17_Prim-39_LTR24B-9_LTR14-6_HERVKC4-8_HERVK-61_ERV24-22_HERVS71-37_LTR6B-20_HERVFH19-13_LTR19B-1_LTR46-22_LTR7C-5_HERVH-5_HERVFH21-21_LTR21A-8_LTR21B-6_LTR21C-3_HERVH48-30_MER48-29_MER84-10_LTR14C-12_HERVK14C-12_LTR53-3_LTR47B4-1_LTR47B3-2_LTR47B2-1_LTR57-16_MER70-2_MER70C-1_LTR76-10_HERVL18-37_LTR18A-24_LTR18C-8_LTR18B-5_LTR17-104_HERV17-116_LTR12-35_HERV9N-36_HERV9-91_LTR12F-34_LTR12C-41_HERV9NC-85_HERV30-18_LTR12D-21_-23_LTR12B-4_HERVL-451_MLT2A2-143_LTR30-14_HERV4-35_LTR27E-8_LTR27D-9_LTR28B-4_LTR1D1-6_LTR28C-4_LTR9D-3_LTR9A1-10_LTR25-2_MER66A-1_MER51E-6_MER51A-16_ERVL-47_E-5_LTR41-1_MER41E-1_MER41C-18_MER66C-1_MER41D-2_LTR6A-17_LTRe-5_LTR15-12_HERV15-14_LTRa-2_B4-34_MER70B-1_HERVE-108_a-30_LTR2C-36_MER57C1-1_LTR39-2_MER83A-1_LTR10B1-10_LTR10G-10_HERVIP10FH-2_LTR10E-1_MER4E-2_MER4B-3_MER101-1_LOR1-4_LTR22-9_LTR5-26_Hs-26_MER110-1_HERVK11D-10_MER11D-10_LTR24-7_PRIMAX-1_MER89-2_MER57C2-1_LTR22C2-2_LTR22C0-17_LTR22E-17_LTR22B1-17_LTR22A-17_LTR22B-4_ERV3-2_16A3-2_MER34D-1_MER34-1_HERVK14-32_LTR14B-16_LTR14A-13_MER11A-13_MER11B-17_LTR5B-17_LTR5A-12_LTR45C-1_MER9B-5_MER9a2-41_MER9a1-29_LTR10B-3_LTR71A-14_HERVP71A-22_LTR71B-7_MLT2D-4_MLT2B4-6_MLT2A1-283_MLT2B2-2_MLT2B1-13_MLT2B3-1_MLT2C1-2_LOR1a-2_LTR3B-28_HERVK3-60_LTR3-11_LTR3A-20_LTRb-1_LTR66-1_HERVL66-1_LTR16-1_MER66D-3_LTR52-4
Clade_254,MER66-11_int-2135_MER66B-1_MER50-15_MER52-54_MER52C-1_HERV1-30_LTRd-1_I-50_PABL-37_B-37_LTR9-5_HUERS-50_P3-49_HERVIP10F-43_LTR10A-19_Harlequin-4_LTR2-1_LTR10B2-8_HERVIP10B3-34_HERV3-43_LTR4-12_LTR13-8_HERVK13-9_HERVK11-44_MER11C-18_HERVL32-6_LTR32-4_ERVL47-6_LTR47A2-2_HERVI-13_LTR10D-5_LTR9C-6_P3b-1_LTR9B-1_LTRc-8_LTR61-11_PRIMA41-40_PRIMA4-22_LTR-9_HERVK22-100_MER57A-16_HERVK9-168_MER9a3-83_MER57D-1_ERV24B-17_Prim-39_LTR24B-9_LTR14-6_HERVKC4-8_HERVK-61_ERV24-22_HERVS71-25_LTR6B-10_HERVFH19-13_LTR19B-1_LTR46-22_LTR7C-5_HERVH-5_HERVFH21-21_LTR21A-8_LTR21B-6_LTR21C-3_HERVH48-30_MER48-29_MER84-10_LTR14C-12_HERVK14C-12_LTR53-3_LTR47B4-1_LTR47B3-2_LTR47B2-1_LTR57-16_MER70-2_MER70C-1_LTR76-10_HERVL18-37_LTR18A-24_LTR18C-8_LTR18B-5_LTR17-104_HERV17-116_LTR12-35_HERV9N-36_HERV9-91_LTR12F-34_LTR12C-41_HERV9NC-85_HERV30-18_LTR12D-21_-23_LTR12B-4_HERVL-451_MLT2A2-143_LTR30-14_HERV4-35_LTR27E-8_LTR27D-9_LTR28B-4_LTR1D1-6_LTR28C-4_LTR9D-3_LTR9A1-10_LTR25-2_MER66A-1_MER51E-6_MER51A-16_ERVL-47_E-5_LTR41-1_MER41E-1_MER41C-18_MER66C-1_MER41D-2_LTR6A-15_LTRe-5_LTR15-12_HERV15-14_LTRa-2_B4-34_MER70B-1_HERVE-108_a-30_LTR2C-36_MER57C1-1_LTR39-2_MER83A-1_LTR10B1-10_LTR10G-10_HERVIP10FH-2_LTR10E-1_MER4E-2_MER4B-3_MER101-1_LOR1-4_LTR22-9_LTR5-26_Hs-26_MER110-1_HERVK11D-10_MER11D-10_LTR24-7_PRIMAX-1_MER89-2_MER57C2-1_LTR22C2-2_LTR22C0-17_LTR22E-17_LTR22B1-17_LTR22A-17_LTR22B-4_ERV3-2_16A3-2_MER34D-1_MER34-1_HERVK14-32_LTR14B-16_LTR14A-13_MER11A-13_MER11B-17_LTR5B-17_LTR5A-12_LTR45C-1_MER9B-5_MER9a2-41_MER9a1-29_LTR10B-3_LTR71A-14_HERVP71A-22_LTR71B-7_MLT2D-4_MLT2B4-6_MLT2A1-283_MLT2B2-2_MLT2B1-13_MLT2B3-1_MLT2C1-2_LOR1a-2_LTR3B-28_HERVK3-60_LTR3-11_LTR3A-20_LTRb-1_LTR66-1_HERVL66-1_LTR16-1_MER66D-3_LTR52-4
ERV_4124264,ERV_4124264_MER66_int_MER66B
Clade_255,MER50-15_int-2134_MER52-54_MER52C-1_HERV1-30_LTRd-1_I-50_PABL-37_B-37_LTR9-5_HUERS-50_P3-49_HERVIP10F-43_LTR10A-19_Harlequin-4_LTR2-1_LTR10B2-8_HERVIP10B3-34_HERV3-43_LTR4-12_LTR13-8_HERVK13-9_HERVK11-44_MER11C-18_HERVL32-6_LTR32-4_ERVL47-6_LTR47A2-2_HERVI-13_LTR10D-5_LTR9C-6_P3b-1_LTR9B-1_LTRc-8_LTR61-11_PRIMA41-40_PRIMA4-22_LTR-9_HERVK22-100_MER57A-16_HERVK9-168_MER9a3-83_MER57D-1_ERV24B-17_Prim-39_LTR24B-9_LTR14-6_HERVKC4-8_HERVK-61_ERV24-22_HERVS71-25_LTR6B-10_HERVFH19-13_LTR19B-1_LTR46-22_LTR7C-5_HERVH-5_HERVFH21-21_LTR21A-8_LTR21B-6_LTR21C-3_HERVH48-30_MER48-29_MER84-10_LTR14C-12_HERVK14C-12_LTR53-3_LTR47B4-1_LTR47B3-2_LTR47B2-1_LTR57-16_MER70-2_MER70C-1_LTR76-10_HERVL18-37_LTR18A-24_LTR18C-8_LTR18B-5_LTR17-104_HERV17-116_LTR12-35_HERV9N-36_HERV9-91_LTR12F-34_LTR12C-41_HERV9NC-85_HERV30-18_LTR12D-21_-23_LTR12B-4_HERVL-451_MLT2A2-143_LTR30-14_HERV4-35_LTR27E-8_LTR27D-9_LTR28B-4_LTR1D1-6_LTR28C-4_LTR9D-3_LTR9A1-10_LTR25-2_MER66A-1_MER66-10_MER51E-6_MER51A-16_ERVL-47_E-5_LTR41-1_MER41E-1_MER41C-18_MER66C-1_MER41D-2_LTR6A-15_LTRe-5_LTR15-12_HERV15-14_LTRa-2_B4-34_MER70B-1_HERVE-108_a-30_LTR2C-36_MER57C1-1_LTR39-2_MER83A-1_LTR10B1-10_LTR10G-10_HERVIP10FH-2_LTR10E-1_MER4E-2_MER4B-3_MER101-1_LOR1-4_LTR22-9_LTR5-26_Hs-26_MER110-1_HERVK11D-10_MER11D-10_LTR24-7_PRIMAX-1_MER89-2_MER57C2-1_LTR22C2-2_LTR22C0-17_LTR22E-17_LTR22B1-17_LTR22A-17_LTR22B-4_ERV3-2_16A3-2_MER34D-1_MER34-1_HERVK14-32_LTR14B-16_LTR14A-13_MER11A-13_MER11B-17_LTR5B-17_LTR5A-12_LTR45C-1_MER9B-5_MER9a2-41_MER9a1-29_LTR10B-3_LTR71A-14_HERVP71A-22_LTR71B-7_MLT2D-4_MLT2B4-6_MLT2A1-283_MLT2B2-2_MLT2B1-13_MLT2B3-1_MLT2C1-2_LOR1a-2_LTR3B-28_HERVK3-60_LTR3-11_LTR3A-20_LTRb-1_LTR66-1_HERVL66-1_LTR16-1_MER66D-3_LTR52-4
Clade_256,MER50-15_int-2131_MER52-54_MER52C-1_HERV1-30_LTRd-1_I-50_PABL-37_B-37_LTR9-5_HUERS-50_P3-49_HERVIP10F-43_LTR10A-19_Harlequin-4_LTR2-1_LTR10B2-8_HERVIP10B3-34_HERV3-43_LTR4-12_LTR13-8_HERVK13-9_HERVK11-44_MER11C-18_HERVL32-6_LTR32-4_ERVL47-6_LTR47A2-2_HERVI-13_LTR10D-5_LTR9C-6_P3b-1_LTR9B-1_LTRc-8_LTR61-11_PRIMA41-40_PRIMA4-22_LTR-9_HERVK22-100_MER57A-16_HERVK9-168_MER9a3-83_MER57D-1_ERV24B-17_Prim-39_LTR24B-9_LTR14-6_HERVKC4-8_HERVK-61_ERV24-22_HERVS71-25_LTR6B-10_HERVFH19-13_LTR19B-1_LTR46-22_LTR7C-5_HERVH-5_HERVFH21-21_LTR21A-8_LTR21B-6_LTR21C-3_HERVH48-30_MER48-29_MER84-10_LTR14C-12_HERVK14C-12_LTR53-3_LTR47B4-1_LTR47B3-2_LTR47B2-1_LTR57-16_MER70-2_MER70C-1_LTR76-10_HERVL18-36_LTR18A-23_LTR18C-8_LTR18B-5_LTR17-104_HERV17-116_LTR12-35_HERV9N-36_HERV9-91_LTR12F-34_LTR12C-41_HERV9NC-85_HERV30-18_LTR12D-21_-23_LTR12B-4_HERVL-451_MLT2A2-143_LTR30-14_HERV4-35_LTR27E-8_LTR27D-9_LTR28B-4_LTR1D1-6_LTR28C-4_LTR9D-3_LTR9A1-10_LTR25-2_MER66A-1_MER66-10_MER51E-6_MER51A-16_ERVL-47_E-5_LTR41-1_MER41E-1_MER41C-18_MER66C-1_MER41D-2_LTR6A-15_LTRe-5_LTR15-12_HERV15-14_LTRa-2_B4-34_MER70B-1_HERVE-108_a-30_LTR2C-36_MER57C1-1_LTR39-2_MER83A-1_LTR10B1-10_LTR10G-10_HERVIP10FH-2_LTR10E-1_MER4E-2_MER4B-3_MER101-1_LOR1-4_LTR22-9_LTR5-26_Hs-26_MER110-1_HERVK11D-10_MER11D-10_LTR24-7_PRIMAX-1_MER89-2_MER57C2-1_LTR22C2-2_LTR22C0-17_LTR22E-17_LTR22B1-17_LTR22A-17_LTR22B-4_ERV3-2_16A3-2_MER34D-1_MER34-1_HERVK14-32_LTR14B-16_LTR14A-13_MER11A-13_MER11B-17_LTR5B-17_LTR5A-12_LTR45C-1_MER9B-5_MER9a2-41_MER9a1-29_LTR10B-3_LTR71A-14_HERVP71A-22_LTR71B-7_MLT2D-4_MLT2B4-6_MLT2A1-283_MLT2B2-2_MLT2B1-13_MLT2B3-1_MLT2C1-2_LOR1a-2_LTR3B-28_HERVK3-60_LTR3-11_LTR3A-20_LTRb-1_LTR66-1_HERVL66-1_LTR16-1_MER66D-3
Clade_257,MER50-2_int-2_MER52-1_MER52C-1
ERV_3319200,ERV_3319200_MER50_int_MER50
ERV_1049718,ERV_1049718_MER52_int_MER52C
Clade_258,HERV1-30_LTRd-1_I-50_int-2129_PABL-37_B-37_LTR9-5_HUERS-50_P3-49_HERVIP10F-43_LTR10A-19_Harlequin-4_LTR2-1_LTR10B2-8_HERVIP10B3-34_HERV3-43_LTR4-12_LTR13-8_HERVK13-9_HERVK11-44_MER11C-18_HERVL32-6_LTR32-4_ERVL47-6_LTR47A2-2_HERVI-13_LTR10D-5_LTR9C-6_P3b-1_LTR9B-1_LTRc-8_LTR61-11_PRIMA41-40_PRIMA4-22_LTR-9_HERVK22-100_MER57A-16_HERVK9-168_MER9a3-83_MER57D-1_ERV24B-17_Prim-39_LTR24B-9_LTR14-6_HERVKC4-8_HERVK-61_ERV24-22_HERVS71-25_LTR6B-10_HERVFH19-13_LTR19B-1_LTR46-22_LTR7C-5_HERVH-5_HERVFH21-21_LTR21A-8_LTR21B-6_LTR21C-3_HERVH48-30_MER48-29_MER84-10_LTR14C-12_HERVK14C-12_LTR53-3_LTR47B4-1_LTR47B3-2_LTR47B2-1_LTR57-16_MER70-2_MER70C-1_LTR76-10_HERVL18-36_LTR18A-23_LTR18C-8_LTR18B-5_LTR17-104_HERV17-116_LTR12-35_HERV9N-36_HERV9-91_LTR12F-34_LTR12C-41_HERV9NC-85_HERV30-18_LTR12D-21_-23_LTR12B-4_HERVL-451_MLT2A2-143_LTR30-14_HERV4-35_LTR27E-8_MER52-53_LTR27D-9_LTR28B-4_LTR1D1-6_LTR28C-4_LTR9D-3_LTR9A1-10_LTR25-2_MER66A-1_MER66-10_MER51E-6_MER51A-16_ERVL-47_E-5_LTR41-1_MER41E-1_MER41C-18_MER66C-1_MER41D-2_LTR6A-15_LTRe-5_LTR15-12_HERV15-14_LTRa-2_B4-34_MER70B-1_HERVE-108_a-30_LTR2C-36_MER57C1-1_LTR39-2_MER50-13_MER83A-1_LTR10B1-10_LTR10G-10_HERVIP10FH-2_LTR10E-1_MER4E-2_MER4B-3_MER101-1_LOR1-4_LTR22-9_LTR5-26_Hs-26_MER110-1_HERVK11D-10_MER11D-10_LTR24-7_PRIMAX-1_MER89-2_MER57C2-1_LTR22C2-2_LTR22C0-17_LTR22E-17_LTR22B1-17_LTR22A-17_LTR22B-4_ERV3-2_16A3-2_MER34D-1_MER34-1_HERVK14-32_LTR14B-16_LTR14A-13_MER11A-13_MER11B-17_LTR5B-17_LTR5A-12_LTR45C-1_MER9B-5_MER9a2-41_MER9a1-29_LTR10B-3_LTR71A-14_HERVP71A-22_LTR71B-7_MLT2D-4_MLT2B4-6_MLT2A1-283_MLT2B2-2_MLT2B1-13_MLT2B3-1_MLT2C1-2_LOR1a-2_LTR3B-28_HERVK3-60_LTR3-11_LTR3A-20_LTRb-1_LTR66-1_HERVL66-1_LTR16-1_MER66D-3
Clade_259,HERV1-2_LTRd-1_I-1_int-4_PABL-2_B-2_LTR9-1_HUERS-1_P3-1_HERVIP10F-1_LTR10A-1
Clade_260,HERV1-2_LTRd-1_I-1_int-2_PABL-2_B-2
ERV_4444429,ERV_4444429_HERV1_LTRd_HERV1_I_int
ERV_4115284,ERV_4115284_PABL_B_int_PABL_B
Clade_261,LTR9-1_HUERS-1_P3-1_int-2_HERVIP10F-1_LTR10A-1
ERV_3220100,ERV_3220100_LTR9_HUERS_P3_int
ERV_1201327,ERV_1201327_HERVIP10F_int_LTR10A
Clade_262,Harlequin-4_int-2125_LTR2-1_LTR10B2-8_HERVIP10B3-34_HERV3-43_LTR4-12_PABL-35_B-35_LTR13-8_HERVK13-9_HERVK11-44_MER11C-18_HERVL32-6_LTR32-4_ERVL47-6_LTR47A2-2_HERVI-13_LTR10D-5_HUERS-49_P3-48_LTR9C-6_P3b-1_LTR9B-1_HERV1-28_LTRc-8_I-49_LTR61-11_PRIMA41-40_PRIMA4-22_LTR-9_HERVK22-100_MER57A-16_HERVK9-168_MER9a3-83_MER57D-1_ERV24B-17_Prim-39_LTR24B-9_LTR14-6_HERVKC4-8_HERVK-61_ERV24-22_HERVS71-25_LTR6B-10_HERVFH19-13_LTR19B-1_LTR46-22_LTR7C-5_HERVH-5_HERVFH21-21_LTR21A-8_LTR21B-6_LTR21C-3_HERVH48-30_MER48-29_MER84-10_LTR14C-12_HERVK14C-12_LTR53-3_LTR47B4-1_LTR47B3-2_LTR47B2-1_LTR57-16_MER70-2_MER70C-1_LTR76-10_HERVL18-36_LTR18A-23_LTR18C-8_LTR18B-5_LTR17-104_HERV17-116_LTR12-35_HERV9N-36_HERV9-91_LTR12F-34_LTR12C-41_HERV9NC-85_HERV30-18_LTR12D-21_-23_LTR12B-4_HERVL-451_MLT2A2-143_LTR30-14_HERV4-35_LTR27E-8_MER52-53_LTR27D-9_LTR28B-4_LTR1D1-6_LTR28C-4_LTR9D-3_LTR9-4_LTR9A1-10_LTR25-2_MER66A-1_MER66-10_MER51E-6_MER51A-16_ERVL-47_E-5_LTR41-1_MER41E-1_MER41C-18_MER66C-1_MER41D-2_LTR6A-15_LTRe-5_LTR15-12_HERV15-14_LTRa-2_B4-34_MER70B-1_HERVE-108_a-30_LTR2C-36_MER57C1-1_LTR39-2_HERVIP10F-42_LTR10A-18_MER50-13_MER83A-1_LTR10B1-10_LTR10G-10_HERVIP10FH-2_LTR10E-1_MER4E-2_MER4B-3_MER101-1_LOR1-4_LTR22-9_LTR5-26_Hs-26_MER110-1_HERVK11D-10_MER11D-10_LTR24-7_PRIMAX-1_MER89-2_MER57C2-1_LTR22C2-2_LTR22C0-17_LTR22E-17_LTR22B1-17_LTR22A-17_LTR22B-4_ERV3-2_16A3-2_MER34D-1_MER34-1_HERVK14-32_LTR14B-16_LTR14A-13_MER11A-13_MER11B-17_LTR5B-17_LTR5A-12_LTR45C-1_MER9B-5_MER9a2-41_MER9a1-29_LTR10B-3_LTR71A-14_HERVP71A-22_LTR71B-7_MLT2D-4_MLT2B4-6_MLT2A1-283_MLT2B2-2_MLT2B1-13_MLT2B3-1_MLT2C1-2_LOR1a-2_LTR3B-28_HERVK3-60_LTR3-11_LTR3A-20_LTRb-1_LTR66-1_HERVL66-1_LTR16-1_MER66D-3
Clade_263,Harlequin-1_int-4_LTR2-1_LTR10B2-1_HERVIP10B3-1_HERV3-1_LTR4-1_PABL-1_B-1
ERV_3668599,ERV_3668599_Harlequin_int_LTR2
Clade_264,LTR10B2-1_HERVIP10B3-1_int-3_HERV3-1_LTR4-1_PABL-1_B-1
ERV_2594249,ERV_2594249_LTR10B2_HERVIP10B3_int
Clade_265,HERV3-1_int-2_LTR4-1_PABL-1_B-1
ERV_1237465,ERV_1237465_HERV3_int_LTR4
ERV_2878063,ERV_2878063_PABL_B_int
